sequence,phase,logical_evidence_time_utc,filesystem_birth_utc,filesystem_mtime_utc,archive_path,description,timestamp_fidelity
33,13,2026-09-04T12:15Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/memory_pressure_result.json,Detailed cgroup memory snapshots and timings from the controlled allocation test.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
34,13,2026-09-04T12:15Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/memory_pressure_test.py,Controlled 512 MiB allocation/page-touch test driver.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
35,14,2026-09-04T12:16Z (created after managed-process test),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/background_process_test.txt,Record of the approximately one-minute managed heartbeat-process survival test.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
36,15,2026-09-04T12:16:40.349253785Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/isolation_extra.txt,"Namespace comparison, capability decoding, LSM state, KVM boot evidence, device checks, and time configuration.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
37,16,2026-09-04T12:16Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/git_network_notes.txt,"Raw Git transport outputs, including the native-protocol timeout and expected SSH public-key denial.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
38,16,2026-09-04T12:16Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/git_network_results.json,Structured status/timing results for Git transport probes.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
39,16,2026-09-04T12:16Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/git_network_tests.py,"Python driver for Git HTTPS, native Git protocol, and GitHub SSH transport tests.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
40,17,2026-09-04T12:17:27.258746175Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/persistence_recheck.txt,Later same-VM recheck of workspace and /tmp persistence sentinels plus capacity/cleanup status.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
41,18,2026-09-04T12:17Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/limit_adjustment_test.txt,"Proof that the open-file soft limit could be raised from 1,024 to 524,288.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
42,19,2026-09-04T12:18:25.866920674Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/final_runtime_state.txt,Final uptime and load snapshot from the initial characterization run.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
43,20,2026-09-04T12:18Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/cloudflare_upload.tsv,"Measured 10,000,000-byte Cloudflare upload timing and average upload rate.",Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
44,20,2026-09-04T12:18Z (order known; exact original time unavailable),2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,Agent 9 edge/payload/home/user/envchar_work/cloudflare_upload_error.txt,Captured Cloudflare-upload stderr; empty indicates no stderr.,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
45,21,Initial report produced after 2026-09-04T12:18 UTC; last amended 2026-09-04T14:22:21.433118737Z,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:22:21.433118737 +0000,Agent 9 edge/payload/home/user/environment_characterization.md,Human-readable environment characterization report; later amended to point to the reproducible evidence bundle.,Initial exact birth was replaced by snapshot restore; current mtime records the evidence-link amendment.
46,25,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Agent 9 edge/payload/home/user/.environment_characterization_persistence_probe,31-byte workspace sentinel retained to test persistence across later messages/sessions.,Best available current filesystem metadata; see notes for snapshot caveat.
47,25,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Agent 9 edge/payload/home/user/.sudo_as_admin_successful,Empty marker created as a side effect of successful sudo use in the characterization tests.,Best available current filesystem metadata; see notes for snapshot caveat.
48,28,2026-09-04 14:16:00.641118737 +0000,2026-09-04 14:16:00.641118737 +0000,2026-09-04 14:16:00.641118737 +0000,Agent 9 edge/payload/home/user/.npm/_update-notifier-last-checked,Zero-byte npm update-notifier marker created as an npm side effect.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
49,28,2026-09-04 14:16:00.825118737 +0000,2026-09-04 14:16:00.189118737 +0000,2026-09-04 14:16:00.825118737 +0000,Agent 9 edge/payload/home/user/.npm/_logs/2026-09-04T14_16_00_165Z-debug-0.log,npm debug log created as a side effect of npm list/install probes; retained for complete provenance.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
50,28,2026-09-04 14:18:00.229118737 +0000,2026-09-04 14:17:59.925118737 +0000,2026-09-04 14:18:00.229118737 +0000,Agent 9 edge/payload/home/user/.npm/_logs/2026-09-04T14_17_59_900Z-debug-0.log,npm debug log created as a side effect of npm list/install probes; retained for complete provenance.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
51,28,2026-09-04 14:18:56.681118737 +0000,2026-09-04 14:18:56.681118737 +0000,2026-09-04 14:18:56.681118737 +0000,Agent 9 edge/payload/home/user/.npm/_cacache/content-v2/sha512/fb/ca/2f552916ba7548a39fc87ddb7ddecb4f58408b2e3cfee63c6b256be164bf40c5245d799269512d2650f028ad83a0970d4dcb87d4612f1b9d379408956292,Opaque npm content-addressed cache blob created by the is-number package-install probe.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
52,28,2026-09-04 14:18:56.745118737 +0000,2026-09-04 14:18:56.745118737 +0000,2026-09-04 14:18:56.745118737 +0000,Agent 9 edge/payload/home/user/.npm/_cacache/content-v2/sha512/e3/50/a27e483a7bc4f2952a5db53a5e2d532abd20445734edb47bc4443ef8d7ea6767c00dbf4d34e0c44be3740a3c394af5c1af369e8d6566540656c65d8c719e,Opaque npm content-addressed cache blob created by the is-number package-install probe.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
53,28,2026-09-04 14:18:56.749118737 +0000,2026-09-04 14:18:56.749118737 +0000,2026-09-04 14:18:56.749118737 +0000,Agent 9 edge/payload/home/user/.npm/_cacache/index-v5/28/af/3f5b8e1c4db46b2c24d0264a2bb8ab473f22a4f13707d911085e0a717fb7,npm cache index entry created by the package-install probe.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
54,28,2026-09-04 14:18:56.753118737 +0000,2026-09-04 14:18:56.385118737 +0000,2026-09-04 14:18:56.753118737 +0000,Agent 9 edge/payload/home/user/.npm/_logs/2026-09-04T14_18_56_360Z-debug-0.log,npm debug log created as a side effect of npm list/install probes; retained for complete provenance.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
55,28,2026-09-04 14:20:04.633118737 +0000,2026-09-04 14:20:04.365118737 +0000,2026-09-04 14:20:04.633118737 +0000,Agent 9 edge/payload/home/user/.npm/_logs/2026-09-04T14_20_04_341Z-debug-0.log,npm debug log created as a side effect of npm list/install probes; retained for complete provenance.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
56,28,2026-09-04 14:20:59.949118737 +0000,2026-09-04 14:20:59.949118737 +0000,2026-09-04 14:20:59.949118737 +0000,Agent 9 edge/payload/home/user/.npm/_cacache/index-v5/98/20/8cf39748e26add3139706a657e8908982a79143e5c985f1a3fd09031cf57,npm cache index entry created by the package-install probe.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
57,28,2026-09-04 14:20:59.981118737 +0000,2026-09-04 14:20:59.777118737 +0000,2026-09-04 14:20:59.981118737 +0000,Agent 9 edge/payload/home/user/.npm/_logs/2026-09-04T14_20_59_757Z-debug-0.log,npm debug log created as a side effect of npm list/install probes; retained for complete provenance.,"Side-effect log/cache time from current filesystem metadata and, for logs, timestamped filename/content."
58,29,2026-09-04T14:15:19Z onward,2026-09-04 14:21:37.533118737 +0000,2026-09-04 14:21:48.865118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/README.md,"Index for the reproducible evidence package, raw files, manifests, verification commands, and diff instructions.",Current inode birth/mtime available; canonical full-run timestamps are in its manifest.
59,29,2026-09-04T14:15:19Z onward,2026-09-04 14:15:19.649118737 +0000,2026-09-04 14:19:58.465118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/probe_environment.sh,Canonical reusable full/quick environment probe script.,Current inode birth/mtime available; canonical full-run timestamps are in its manifest.
60,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:21:11.261118737 +0000,2026-09-04 14:21:11.265118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/SHA256SUMS,GNU sha256sum-compatible checksums for all raw transcript files in that evidence run.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
61,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:21:11.289118737 +0000,2026-09-04 14:21:11.289118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/manifest.json,Machine-readable JSON form of the per-run verification manifest.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
62,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:21:11.265118737 +0000,2026-09-04 14:21:11.269118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/manifest.txt,"Human-readable per-run verification manifest with timestamps, sandbox/template IDs, script hash, and raw-file hashes.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
63,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:02.725118737 +0000,2026-09-04 14:20:02.725118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/persistence_sentinel.txt,Per-run sentinel used by the final persistence probe.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
64,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:02.721118737 +0000,2026-09-04 14:20:02.721118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/probe_environment.sh,Exact probe script frozen beside its run so later canonical-script edits cannot change provenance.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
65,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:02.725118737 +0000,2026-09-04 14:20:02.869118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/01_runtime.txt,Direct runtime/identity/OS/libc/time/environment-name command transcript.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
66,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:02.869118737 +0000,2026-09-04 14:20:02.957118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/02_isolation.txt,"Direct VM/container, cgroup, capabilities, namespaces, process tree, LSM, devices, and dmesg transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
67,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:02.957118737 +0000,2026-09-04 14:20:03.013118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/03_resources.txt,"Direct rlimit, CPU, memory, cgroup, pressure, descriptor-limit, and GPU transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
68,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:03.013118737 +0000,2026-09-04 14:20:03.937118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/04_tooling.txt,Direct command-path and version probes for all requested tools and runtimes.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
69,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:03.937118737 +0000,2026-09-04 14:20:04.645118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/05_packages.txt,"Direct pip package list, selected Python import metadata, npm globals, and apt source transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
70,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:04.645118737 +0000,2026-09-04 14:20:04.781118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/06_filesystem.txt,Direct capacity/inode/mount/stat and user/root write-test transcript.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
71,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:04.781118737 +0000,2026-09-04 14:20:15.113118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/07_dns.txt,"Direct resolver configuration, getaddrinfo, UDP DNS, and sudo ICMP transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
72,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:15.113118737 +0000,2026-09-04 14:20:16.101118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/08_http_latency.txt,"Direct proxy, captive-portal, and repeated curl HTTP/TLS/TTFB timing transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
73,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:16.101118737 +0000,2026-09-04 14:20:47.093118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/09_net_matrix.txt,"Direct TCP port matrix, Git HTTPS/native/SSH, and IPv6 transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
