sequence,phase,archive_path,source_path,source_rel,description,size_bytes,sha256,mime_guess,filesystem_birth_utc,filesystem_mtime_utc,filesystem_ctime_utc,logical_evidence_time_utc,timestamp_fidelity
13,6,Agent 9 edge/payload/home/user/envchar_work/network_socket_tests.py,/home/user/envchar_work/network_socket_tests.py,envchar_work/network_socket_tests.py,"Python driver for getaddrinfo, direct UDP DNS, and TCP port probes.",3709,97f2b4d8ecd6bbb97cdf2209aa8a4d77a9ee8b8b02f418e866ccbb60917edb03,text/x-python,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:12:32Z (parallel probe group),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
14,6,Agent 9 edge/payload/home/user/envchar_work/tcp_ports.tsv,/home/user/envchar_work/tcp_ports.tsv,envchar_work/tcp_ports.tsv,Per-attempt direct TCP-connect matrix for required endpoints and representative ports.,1193,376e895e50e139feab42451887a331d395cf349fed3f66079e77929f0dfae25f,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:12:32Z (parallel probe group),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
15,7,Agent 9 edge/payload/home/user/envchar_work/sudo_ping_ipv6.txt,/home/user/envchar_work/sudo_ping_ipv6.txt,envchar_work/sudo_ping_ipv6.txt,Root ICMP latency/loss results and failed IPv6 connectivity probes.,3806,4259c72232869ec2198e748328f990551e4f6a8d873f73446c90283d00de3f10,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:13:02.080782593Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
16,7,Agent 9 edge/payload/home/user/envchar_work/curl_latency.tsv,/home/user/envchar_work/curl_latency.tsv,envchar_work/curl_latency.tsv,"Three-run curl timing matrix for Google, GitHub, PyPI, Hugging Face, and 8.8.8.8 DoH.",1410,7ae49ce024a29d012757792da5b62ce688f4bcd93e7c71b297db3ef992e39cad,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:13:02Z (parallel probe group),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
17,7,Agent 9 edge/payload/home/user/envchar_work/curl_latency_errors.txt,/home/user/envchar_work/curl_latency_errors.txt,envchar_work/curl_latency_errors.txt,Captured curl-latency stderr; empty indicates no errors in that probe.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:13:02Z (parallel probe group),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
18,8,Agent 9 edge/payload/home/user/envchar_work/large_download_errors.txt,/home/user/envchar_work/large_download_errors.txt,envchar_work/large_download_errors.txt,Captured stderr from large-download tests; empty indicates no stderr.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:13Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
19,8,Agent 9 edge/payload/home/user/envchar_work/large_download_notes.txt,/home/user/envchar_work/large_download_notes.txt,envchar_work/large_download_notes.txt,Object-selection and integrity/type validation notes for large downloads.,988,ccc758b10358dc69be2c8a62c4668bfde0aefbe9167d62240683cfa0d439b578,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:13Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
20,8,Agent 9 edge/payload/home/user/envchar_work/large_downloads.tsv,/home/user/envchar_work/large_downloads.tsv,envchar_work/large_downloads.tsv,"Measured large-object download sizes, timings, speeds, redirects, hashes, and curl status.",1079,c7ef4e1c60f5f1112818465ce83ce78414438a448591ee668bd7ee7fbcdf5c30,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:13Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
21,9,Agent 9 edge/payload/home/user/envchar_work/google_download_retry.tsv,/home/user/envchar_work/google_download_retry.tsv,envchar_work/google_download_retry.tsv,"Successful 5,000,000-byte Google Chrome package range-download timing after the first object returned 403.",161,224900d1fe0e9148242e084350a91554004da85c2501d330263398a7e18b192a,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
22,9,Agent 9 edge/payload/home/user/envchar_work/google_download_retry_error.txt,/home/user/envchar_work/google_download_retry_error.txt,envchar_work/google_download_retry_error.txt,Captured stderr from the successful Google retry; empty indicates no stderr.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
23,9,Agent 9 edge/payload/home/user/envchar_work/google_download_retry_headers.txt,/home/user/envchar_work/google_download_retry_headers.txt,envchar_work/google_download_retry_headers.txt,Selected raw HTTP headers proving the successful Google byte-range response.,543,cfbcfbbfd45e8a35ed4b340876c6c6bf31cf060dd117e48fb85dfbf080d28c6e,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
24,10,Agent 9 edge/payload/home/user/envchar_work/install_compile_notes.txt,/home/user/envchar_work/install_compile_notes.txt,envchar_work/install_compile_notes.txt,Raw outputs from pip/npm/native compilation and verification tests.,2037,880bc2e5d69bcf9fdebaff738b1782fe8f22956efd61f387a30b1f408bb27df8,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
25,10,Agent 9 edge/payload/home/user/envchar_work/install_compile_results.json,/home/user/envchar_work/install_compile_results.json,envchar_work/install_compile_results.json,Structured timings and statuses from pip/npm/native compilation tests.,1720,54bc5811b04bf849e07accb77475b0a8a47027a727011344c1090bdcafe03385,application/json,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
26,10,Agent 9 edge/payload/home/user/envchar_work/install_compile_tests.py,/home/user/envchar_work/install_compile_tests.py,envchar_work/install_compile_tests.py,"Driver for isolated venv/pip, local npm, GCC, Make, and binary verification tests.",2966,77292df1b362ccc74552fe49d0c7f65d675daa203a0e7e18f2a14ae358d59cb8,text/x-python,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
27,11,Agent 9 edge/payload/home/user/envchar_work/apt_install_notes.txt,/home/user/envchar_work/apt_install_notes.txt,envchar_work/apt_install_notes.txt,Raw apt source configuration and apt operation transcript.,4651,ff2ff8e2bd03104f3d1e1572d4bf4ebe620214775347afe796610ea11e7fa468,text/plain,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
28,11,Agent 9 edge/payload/home/user/envchar_work/apt_install_results.json,/home/user/envchar_work/apt_install_results.json,envchar_work/apt_install_results.json,Structured timings/statuses for apt update/install/verify/purge operations.,784,a4fa332a4f723b578e7dbb52c5175b5aec200999f7148e3f4e3d6148479d8d9c,application/json,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
29,11,Agent 9 edge/payload/home/user/envchar_work/apt_install_test.py,/home/user/envchar_work/apt_install_test.py,envchar_work/apt_install_test.py,"Driver for apt update, real tree-package install/verification, purge, and cleanup check.",1860,692b03a53001a14cc88e9ed6f87b376d2994a71ad8b6a9f5fd40ab854a6ad27b,text/x-python,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04T12:14Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
30,12,Agent 9 edge/payload/home/user/envchar_work/microbenchmark_notes.txt,/home/user/envchar_work/microbenchmark_notes.txt,envchar_work/microbenchmark_notes.txt,"Benchmark timestamp, affinity, load, file allocation, and maximum-RSS notes.",283,d5716293d4cf7340bc0b2044ae01e3031c04f76158e88389c9e428aacd55712c,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:15:37Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
31,12,Agent 9 edge/payload/home/user/envchar_work/microbenchmark_results.json,/home/user/envchar_work/microbenchmark_results.json,envchar_work/microbenchmark_results.json,Structured timings/rates from the initial CPU and disk micro-benchmarks.,2336,2ddd0b07163e3ca45673901b00237aadbe43bec0a854de44a6eac53a4d36a44a,application/json,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:15:37Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
32,12,Agent 9 edge/payload/home/user/envchar_work/microbenchmarks.py,/home/user/envchar_work/microbenchmarks.py,envchar_work/microbenchmarks.py,"Driver for CPU, NumPy, buffered disk, cache-advised disk, and direct-I/O benchmarks.",5479,b9e6b6498f1059ef0f1c9cc84f15a7919bbf7b519dae5ff51a12550b84af1044,text/x-python,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:15:37Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
33,13,Agent 9 edge/payload/home/user/envchar_work/memory_pressure_result.json,/home/user/envchar_work/memory_pressure_result.json,envchar_work/memory_pressure_result.json,Detailed cgroup memory snapshots and timings from the controlled allocation test.,1699,0efa57084949da73aca9b547a6ae661381c5fb78fad8ff979580e2a71eac2768,application/json,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:15Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
34,13,Agent 9 edge/payload/home/user/envchar_work/memory_pressure_test.py,/home/user/envchar_work/memory_pressure_test.py,envchar_work/memory_pressure_test.py,Controlled 512 MiB allocation/page-touch test driver.,1559,920ef67144773c4323df20bbb87eca4bf599c00257b2a727f560e8c125ea75cc,text/x-python,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:15Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
35,14,Agent 9 edge/payload/home/user/envchar_work/background_process_test.txt,/home/user/envchar_work/background_process_test.txt,envchar_work/background_process_test.txt,Record of the approximately one-minute managed heartbeat-process survival test.,629,76a033d663f5b12aec00aab8a3946b70b9a513389dd2b2a81be47cc4be70e33f,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:16Z (created after managed-process test),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
36,15,Agent 9 edge/payload/home/user/envchar_work/isolation_extra.txt,/home/user/envchar_work/isolation_extra.txt,envchar_work/isolation_extra.txt,"Namespace comparison, capability decoding, LSM state, KVM boot evidence, device checks, and time configuration.",6559,c90602f133ad9d8d3175f8def82b56e6394c592018427b9c8343daf9c5aa6838,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:16:40.349253785Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
37,16,Agent 9 edge/payload/home/user/envchar_work/git_network_notes.txt,/home/user/envchar_work/git_network_notes.txt,envchar_work/git_network_notes.txt,"Raw Git transport outputs, including the native-protocol timeout and expected SSH public-key denial.",818,0118d5d4c9e1041a95d34689a655c2ae5788478f1cca00d82b9088945cb2961e,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:16Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
38,16,Agent 9 edge/payload/home/user/envchar_work/git_network_results.json,/home/user/envchar_work/git_network_results.json,envchar_work/git_network_results.json,Structured status/timing results for Git transport probes.,339,c843b894a27af5f0283e6883d9b3561499d73ce7d9a9a6216606f94433264d12,application/json,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:16Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
39,16,Agent 9 edge/payload/home/user/envchar_work/git_network_tests.py,/home/user/envchar_work/git_network_tests.py,envchar_work/git_network_tests.py,"Python driver for Git HTTPS, native Git protocol, and GitHub SSH transport tests.",1394,390d608a48aed5b52d9aef94c3a073aca2e83f29822bba87ff0e4a2dc1454ebf,text/x-python,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:16Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
40,17,Agent 9 edge/payload/home/user/envchar_work/persistence_recheck.txt,/home/user/envchar_work/persistence_recheck.txt,envchar_work/persistence_recheck.txt,Later same-VM recheck of workspace and /tmp persistence sentinels plus capacity/cleanup status.,833,832fd6b2e7c33892144814afaf48bffa1c49b86eab6fb034aeb096d390d0d433,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:17:27.258746175Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
41,18,Agent 9 edge/payload/home/user/envchar_work/limit_adjustment_test.txt,/home/user/envchar_work/limit_adjustment_test.txt,envchar_work/limit_adjustment_test.txt,"Proof that the open-file soft limit could be raised from 1,024 to 524,288.",108,2fe3d01f3b094f4af304a7f540c90cd579224515744d57f8e8f78d057dbd0459,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:17Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
42,19,Agent 9 edge/payload/home/user/envchar_work/final_runtime_state.txt,/home/user/envchar_work/final_runtime_state.txt,envchar_work/final_runtime_state.txt,Final uptime and load snapshot from the initial characterization run.,222,79d7d4f37b8c942e4c30bc8fa2bf9b3034a27968d2557ef856e49329483786c8,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:18:25.866920674Z,Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
43,20,Agent 9 edge/payload/home/user/envchar_work/cloudflare_upload.tsv,/home/user/envchar_work/cloudflare_upload.tsv,envchar_work/cloudflare_upload.tsv,"Measured 10,000,000-byte Cloudflare upload timing and average upload rate.",179,3603b743c6106dfacee3bc5e3a99f083781f438d86a8caa5349cc99bde51a154,text/tab-separated-values,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:18Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
44,20,Agent 9 edge/payload/home/user/envchar_work/cloudflare_upload_error.txt,/home/user/envchar_work/cloudflare_upload_error.txt,envchar_work/cloudflare_upload_error.txt,Captured Cloudflare-upload stderr; empty indicates no stderr.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/plain,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:15:19.309118737 +0000,2026-09-04T12:18Z (order known; exact original time unavailable),Original inode creation metadata was replaced when the workspace snapshot was restored; logical time/order comes from embedded timestamps and the recorded command sequence.
45,21,Agent 9 edge/payload/home/user/environment_characterization.md,/home/user/environment_characterization.md,environment_characterization.md,Human-readable environment characterization report; later amended to point to the reproducible evidence bundle.,26826,ef9b9c2215577f3a051c01197698e59bfc48973a7eade5d39550920bf0d4a9cc,text/markdown,2026-09-04 14:15:19.309118737 +0000,2026-09-04 14:22:21.433118737 +0000,2026-09-04 14:22:21.433118737 +0000,Initial report produced after 2026-09-04T12:18 UTC; last amended 2026-09-04T14:22:21.433118737Z,Initial exact birth was replaced by snapshot restore; current mtime records the evidence-link amendment.
46,25,Agent 9 edge/payload/home/user/.environment_characterization_persistence_probe,/home/user/.environment_characterization_persistence_probe,.environment_characterization_persistence_probe,31-byte workspace sentinel retained to test persistence across later messages/sessions.,31,30ca64c640e69f8de9e0ed2c5fd13baadcad011259428ebf9aea09605b0aa4f3,text/plain,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Best available current filesystem metadata; see notes for snapshot caveat.
47,25,Agent 9 edge/payload/home/user/.sudo_as_admin_successful,/home/user/.sudo_as_admin_successful,.sudo_as_admin_successful,Empty marker created as a side effect of successful sudo use in the characterization tests.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,inode/x-empty,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,2026-09-04 14:15:19.305118737 +0000,Best available current filesystem metadata; see notes for snapshot caveat.
